+------------+--------+--------+----------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_I | f_rmse_Cs | f_rmse_Pb |                          stdout |
|        370 |   0.35 |  14.35 |    10.75 |    17.93 |    20.32 |    12.96 |      9.75 |     21.77 | task_13677_cp2k_singlepoint_pre |
|        371 |   0.30 |  14.35 |    10.53 |    16.74 |    20.00 |    14.23 |      8.42 |     20.54 | task_13667_cp2k_singlepoint_pre |
|        372 |   0.04 |  14.47 |    11.45 |    18.00 |    16.69 |    13.75 |      7.95 |     21.52 | task_13665_cp2k_singlepoint_pre |
|        373 |   0.16 |  16.62 |    11.57 |    20.91 |    18.43 |    15.78 |     11.20 |     25.66 | task_13661_cp2k_singlepoint_pre |
|        374 |   0.28 |  16.20 |    10.97 |    20.11 |    20.86 |    15.28 |     10.41 |     25.20 | task_13659_cp2k_singlepoint_pre |
|        375 |   0.30 |  15.03 |    12.17 |    18.01 |    21.61 |    13.82 |      8.94 |     22.07 | task_13671_cp2k_singlepoint_pre |
|        376 |   0.20 |  14.36 |    10.49 |    19.13 |    18.85 |    13.35 |      9.47 |     21.26 | task_13675_cp2k_singlepoint_pre |
|        377 |   0.20 |  14.27 |    10.99 |    16.77 |    22.70 |    14.24 |      9.41 |     18.48 | task_13673_cp2k_singlepoint_pre |
|        378 |   0.15 |  13.88 |    10.52 |    15.86 |    18.20 |    13.61 |      8.82 |     20.02 | task_13669_cp2k_singlepoint_pre |
|        379 |   0.45 |  14.67 |    11.75 |    19.74 |    20.21 |    13.62 |      8.90 |     20.64 | task_13663_cp2k_singlepoint_pre |
|        380 |   0.08 |  16.15 |    11.66 |    18.16 |    20.16 |    15.63 |     10.82 |     25.84 | task_13683_cp2k_singlepoint_pre |
|        381 |   0.15 |  16.06 |    11.69 |    17.86 |    25.14 |    15.58 |      9.47 |     24.24 | task_13691_cp2k_singlepoint_pre |
|        382 |   0.10 |  13.92 |    10.14 |    17.98 |    16.73 |    13.47 |      7.88 |     21.38 | task_13687_cp2k_singlepoint_pre |
|        383 |   0.13 |  14.42 |    10.38 |    17.20 |    18.74 |    14.40 |      8.55 |     21.80 | task_13685_cp2k_singlepoint_pre |
|        384 |   0.02 |  15.85 |    10.27 |    16.90 |    23.46 |    16.39 |     11.63 |     23.90 | task_13689_cp2k_singlepoint_pre |
|        385 |   0.32 |  15.84 |    12.22 |    16.44 |    19.38 |    15.69 |     10.57 |     24.38 | task_13679_cp2k_singlepoint_pre |
|        386 |   0.26 |  14.80 |    11.18 |    16.63 |    16.21 |    15.03 |      9.85 |     22.28 | task_13681_cp2k_singlepoint_pre |
|        387 |   0.11 |  14.86 |    10.53 |    18.83 |    18.27 |    14.69 |      8.84 |     22.62 | task_13693_cp2k_singlepoint_pre |
|        388 |   0.08 |  14.95 |    11.34 |    18.25 |    26.77 |    13.24 |      9.00 |     21.78 | task_13697_cp2k_singlepoint_pre |
|        389 |   0.08 |  14.97 |    10.59 |    18.06 |    19.52 |    14.55 |      9.61 |     23.33 | task_13695_cp2k_singlepoint_pre |
|        390 |   0.23 |  14.95 |    11.12 |    17.91 |    18.16 |    14.77 |     10.59 |     23.30 | task_13709_cp2k_singlepoint_pre |
|        391 |   0.01 |  16.33 |    11.32 |    18.60 |    20.54 |    16.58 |     10.47 |     26.77 | task_13715_cp2k_singlepoint_pre |
|        392 |   0.08 |  14.74 |    10.71 |    15.48 |    20.93 |    15.21 |     11.26 |     22.28 | task_13703_cp2k_singlepoint_pre |
|        393 |   0.05 |  16.17 |    11.63 |    18.99 |    20.77 |    15.63 |     10.74 |     26.60 | task_13717_cp2k_singlepoint_pre |
|        394 |   0.31 |  15.09 |    11.12 |    17.72 |    18.20 |    15.36 |     10.93 |     23.16 | task_13713_cp2k_singlepoint_pre |
|        395 |   0.15 |  16.51 |    11.64 |    19.37 |    19.51 |    17.20 |     11.39 |     25.79 | task_13699_cp2k_singlepoint_pre |
|        396 |   0.25 |  15.45 |    11.50 |    19.40 |    22.81 |    14.83 |      9.87 |     22.62 | task_13711_cp2k_singlepoint_pre |
|        397 |   0.21 |  14.95 |    10.71 |    16.67 |    20.22 |    15.39 |     11.40 |     22.76 | task_13707_cp2k_singlepoint_pre |
|        398 |   0.00 |  15.39 |    11.40 |    19.29 |    20.04 |    15.20 |      9.05 |     23.26 | task_13701_cp2k_singlepoint_pre |
|        399 |   0.01 |  14.91 |    11.03 |    18.57 |    19.40 |    14.84 |     10.51 |     22.05 | task_13705_cp2k_singlepoint_pre |
|        400 |   0.00 |  15.80 |    11.18 |    18.47 |    20.65 |    16.22 |     11.24 |     25.56 | task_13721_cp2k_singlepoint_pre |
|        401 |   0.10 |  15.24 |    11.14 |    18.25 |    19.06 |    16.07 |     10.81 |     23.02 | task_13719_cp2k_singlepoint_pre |
|        402 |   0.07 |  15.50 |    11.40 |    17.73 |    20.05 |    16.19 |     10.06 |     24.17 | task_13725_cp2k_singlepoint_pre |
|        403 |   0.08 |  15.00 |    11.35 |    17.69 |    19.82 |    14.77 |      9.31 |     23.71 | task_13723_cp2k_singlepoint_pre |
|        404 |   0.10 |  14.84 |    10.73 |    17.89 |    20.93 |    15.14 |      7.81 |     22.71 | task_13727_cp2k_singlepoint_pre |
|        405 |   0.05 |  15.55 |    11.47 |    17.38 |    19.79 |    16.63 |     12.21 |     23.57 | task_13729_cp2k_singlepoint_pre |
|        406 |   0.02 |  14.66 |    10.86 |    16.84 |    18.86 |    15.13 |      9.92 |     23.00 | task_13733_cp2k_singlepoint_pre |
|        407 |   0.05 |  15.63 |    11.90 |    18.32 |    19.20 |    15.60 |     10.46 |     24.90 | task_13735_cp2k_singlepoint_pre |
|        408 |   0.05 |  14.96 |    11.82 |    18.10 |    17.61 |    14.56 |      9.93 |     23.31 | task_13731_cp2k_singlepoint_pre |
|        409 |   0.18 |  14.66 |    11.26 |    16.85 |    19.62 |    14.57 |      9.16 |     22.79 | task_13737_cp2k_singlepoint_pre |
|        410 |   0.25 |  15.03 |    10.92 |    18.06 |    19.36 |    14.92 |     10.38 |     25.35 | task_13749_cp2k_singlepoint_pre |
|        411 |   0.14 |  15.62 |    11.18 |    18.58 |    21.39 |    15.48 |     10.43 |     26.30 | task_13747_cp2k_singlepoint_pre |
|        412 |   0.15 |  14.90 |    11.13 |    18.18 |    20.23 |    15.66 |     10.73 |     21.57 | task_13755_cp2k_singlepoint_pre |
|        413 |   0.03 |  14.98 |    11.20 |    17.92 |    20.76 |    15.06 |      8.43 |     23.44 | task_13751_cp2k_singlepoint_pre |
|        414 |   0.07 |  14.91 |    11.20 |    17.10 |    19.09 |    15.66 |      9.79 |     23.54 | task_13753_cp2k_singlepoint_pre |
|        415 |   0.05 |  14.11 |    10.74 |    16.87 |    19.84 |    14.76 |     10.68 |     19.77 | task_13757_cp2k_singlepoint_pre |
|        416 |   0.06 |  15.95 |    11.88 |    18.33 |    20.73 |    16.83 |     12.26 |     24.91 | task_13763_cp2k_singlepoint_pre |
|        417 |   0.06 |  15.24 |    11.15 |    17.22 |    18.88 |    15.54 |     11.11 |     26.25 | task_13759_cp2k_singlepoint_pre |
|        418 |   0.07 |  14.97 |    11.12 |    19.07 |    18.09 |    16.04 |     11.13 |     21.59 | task_13761_cp2k_singlepoint_pre |
|        419 |   0.11 |  15.23 |    11.30 |    18.05 |    20.60 |    15.65 |      9.75 |     23.84 | task_13765_cp2k_singlepoint_pre |
|        420 |   0.08 |  15.35 |    11.06 |    19.39 |    19.35 |    15.47 |     10.29 |     25.85 | task_13767_cp2k_singlepoint_pre |
|        421 |   0.04 |  14.77 |    10.70 |    18.62 |    20.68 |    15.17 |      9.48 |     22.76 | task_13769_cp2k_singlepoint_pre |
|        422 |   0.06 |  14.62 |    11.50 |    18.18 |    19.64 |    14.44 |      8.66 |     21.48 | task_13773_cp2k_singlepoint_pre |
|        423 |   0.01 |  15.59 |    11.79 |    18.48 |    21.41 |    15.39 |     10.51 |     25.43 | task_13771_cp2k_singlepoint_pre |
|        424 |   0.04 |  15.42 |    11.38 |    17.94 |    21.09 |    15.97 |     10.52 |     25.13 | task_13781_cp2k_singlepoint_pre |
|        425 |   0.03 |  15.06 |    11.18 |    18.43 |    18.97 |    15.53 |     11.27 |     24.35 | task_13775_cp2k_singlepoint_pre |
|        426 |   0.08 |  16.07 |    11.31 |    17.98 |    21.00 |    17.90 |     11.16 |     26.94 | task_13783_cp2k_singlepoint_pre |
|        427 |   0.08 |  16.40 |    11.64 |    18.73 |    20.66 |    18.13 |     15.05 |     27.31 | task_13777_cp2k_singlepoint_pre |
|        428 |   0.20 |  16.67 |    11.52 |    17.87 |    21.48 |    18.43 |     10.26 |     29.96 | task_13779_cp2k_singlepoint_pre |
|        429 |   0.18 |  15.96 |    11.79 |    17.89 |    20.30 |    16.81 |     10.46 |     27.32 | task_13785_cp2k_singlepoint_pre |
|        430 |   0.03 |  14.85 |    11.06 |    17.56 |    20.86 |    15.09 |       nan |     24.37 | task_13791_cp2k_singlepoint_pre |
|        431 |   0.06 |  16.92 |    11.71 |    19.13 |    22.79 |    18.53 |       nan |     30.23 | task_13789_cp2k_singlepoint_pre |
|        432 |   0.07 |  15.65 |    11.46 |    18.56 |    20.94 |    16.78 |       nan |     25.53 | task_13787_cp2k_singlepoint_pre |
|        433 |   0.11 |  15.08 |    11.14 |    18.47 |    19.66 |    15.61 |       nan |     24.83 | task_13797_cp2k_singlepoint_pre |
|        434 |   0.12 |  15.56 |    10.78 |    18.81 |    18.33 |    17.28 |       nan |     27.57 | task_13795_cp2k_singlepoint_pre |
|        435 |   0.01 |  15.21 |    11.10 |    17.77 |    20.40 |    16.34 |       nan |     25.22 | task_13793_cp2k_singlepoint_pre |
|        436 |   0.08 |  15.19 |    11.20 |    17.40 |    20.19 |    16.55 |       nan |     24.96 | task_13799_cp2k_singlepoint_pre |
|        437 |   0.03 |  15.46 |    11.24 |    18.21 |    19.29 |    17.91 |       nan |     24.07 | task_13809_cp2k_singlepoint_pre |
|        438 |   0.02 |  15.37 |    11.52 |    17.34 |    20.08 |    16.13 |       nan |     26.35 | task_13813_cp2k_singlepoint_pre |
|        439 |   0.03 |  15.54 |    11.06 |    18.15 |    19.64 |    16.94 |       nan |     27.21 | task_13811_cp2k_singlepoint_pre |
|        440 |   0.37 |  14.66 |    11.21 |    15.59 |    23.12 |    13.85 |      9.41 |     20.89 | task_13745_cp2k_singlepoint_pre |
|        441 |   0.34 |  15.15 |    11.31 |    20.45 |    19.29 |    14.62 |      9.23 |     20.96 | task_13739_cp2k_singlepoint_pre |
|        442 |   0.42 |  15.15 |    11.16 |    14.71 |    19.04 |    14.99 |      8.48 |     21.78 | task_13741_cp2k_singlepoint_pre |
|        443 |   0.35 |  15.41 |     9.71 |    19.45 |    16.12 |    14.32 |      9.35 |     23.91 | task_13743_cp2k_singlepoint_pre |
|        444 |   0.13 |  14.42 |    11.26 |    17.30 |    21.15 |    13.11 |      9.42 |     21.17 | task_13801_cp2k_singlepoint_pre |
|        445 |   0.26 |  15.18 |    10.93 |    18.32 |    23.03 |    14.48 |      8.43 |     21.91 | task_13803_cp2k_singlepoint_pre |
|        446 |   0.49 |  15.28 |    11.16 |    15.53 |    19.24 |    14.62 |      9.66 |     22.50 | task_13805_cp2k_singlepoint_pre |
|        447 |   0.11 |  14.60 |    12.12 |    17.58 |    22.99 |    12.83 |      8.05 |     22.18 | task_13807_cp2k_singlepoint_pre |
|        448 |   0.37 |  13.66 |    10.97 |    18.23 |    15.35 |    12.51 |      9.03 |     19.79 | task_13815_cp2k_singlepoint_pre |
|        449 |   0.31 |  14.98 |    10.02 |    14.32 |    18.77 |    14.75 |     10.11 |     21.55 | task_13817_cp2k_singlepoint_pre |
|        450 |   0.33 |  18.62 |      nan |      nan |      nan |    17.33 |     12.11 |     26.19 | task_16505_cp2k_singlepoint_pre |
|        451 |   0.30 |  21.06 |      nan |      nan |      nan |    19.89 |     14.43 |     28.67 | task_16509_cp2k_singlepoint_pre |
|        452 |   0.02 |  18.71 |      nan |      nan |      nan |    17.97 |     10.79 |     25.80 | task_16513_cp2k_singlepoint_pre |
|        453 |   0.91 |  23.83 |      nan |      nan |      nan |    22.56 |     13.60 |     33.57 | task_16507_cp2k_singlepoint_pre |
|        454 |   0.14 |  20.74 |      nan |      nan |      nan |    19.31 |     13.71 |     29.05 | task_16511_cp2k_singlepoint_pre |
|        455 |   0.29 |  23.57 |      nan |      nan |      nan |    21.56 |     15.10 |     33.99 | task_16515_cp2k_singlepoint_pre |
|        456 |   0.12 |  21.47 |      nan |      nan |      nan |    19.72 |     14.64 |     30.40 | task_16523_cp2k_singlepoint_pre |
|        457 |   0.09 |  21.90 |      nan |      nan |      nan |    19.56 |     14.16 |     32.40 | task_16519_cp2k_singlepoint_pre |
|        458 |   0.51 |  20.76 |      nan |      nan |      nan |    19.41 |     13.41 |     29.06 | task_16517_cp2k_singlepoint_pre |
|        459 |   0.36 |  26.24 |      nan |      nan |      nan |    23.12 |     19.11 |     38.39 | task_16521_cp2k_singlepoint_pre |
|        460 |   0.31 |  20.34 |    16.85 |    25.54 |    28.18 |    17.83 |     12.07 |     30.80 | task_16529_cp2k_singlepoint_pre |
|        461 |   0.17 |  20.11 |    14.85 |    25.78 |    26.11 |    18.60 |     12.43 |     30.59 | task_16537_cp2k_singlepoint_pre |
|        462 |   0.06 |  24.30 |    16.34 |    33.94 |    39.26 |    22.96 |     14.18 |     34.68 | task_16527_cp2k_singlepoint_pre |
|        463 |   0.02 |  22.96 |    19.89 |    29.37 |    41.59 |    20.71 |     13.99 |     29.44 | task_16543_cp2k_singlepoint_pre |
|        464 |   0.52 |  22.79 |    17.01 |    32.08 |    34.48 |    21.39 |     14.23 |     31.32 | task_16539_cp2k_singlepoint_pre |
|        465 |   0.09 |  21.00 |    17.77 |    28.39 |    36.80 |    18.47 |     13.26 |     27.90 | task_16541_cp2k_singlepoint_pre |
|        466 |   0.11 |  22.27 |    16.46 |    32.78 |    32.31 |    20.73 |     13.58 |     30.86 | task_16535_cp2k_singlepoint_pre |
|        467 |   0.39 |  21.48 |    16.24 |    29.73 |    33.14 |    19.65 |     14.35 |     30.06 | task_16531_cp2k_singlepoint_pre |
|        468 |   0.01 |  22.91 |    17.70 |    30.77 |    37.37 |    20.90 |     13.38 |     32.28 | task_16533_cp2k_singlepoint_pre |
|        469 |   0.57 |  21.21 |    16.31 |    27.88 |    36.50 |    18.99 |     14.02 |     29.84 | task_16525_cp2k_singlepoint_pre |
|        470 |   0.16 |  21.19 |    15.99 |    26.81 |    31.88 |    19.49 |     14.09 |     31.26 | task_16547_cp2k_singlepoint_pre |
|        471 |   0.15 |  24.21 |    17.87 |    29.83 |    36.58 |    23.36 |     14.76 |     35.05 | task_16545_cp2k_singlepoint_pre |
|        472 |   0.06 |  22.38 |    17.95 |    29.96 |    34.19 |    19.92 |     12.37 |     31.94 | task_16549_cp2k_singlepoint_pre |
|        473 |   0.19 |  20.96 |    16.66 |    25.88 |    30.34 |    20.25 |     16.16 |     27.76 | task_16553_cp2k_singlepoint_pre |
|        474 |   0.05 |  21.06 |    16.58 |    29.30 |    32.49 |    19.10 |     12.89 |     28.61 | task_16551_cp2k_singlepoint_pre |
|        475 |   0.37 |  22.42 |    18.12 |    31.44 |    30.38 |    19.98 |     14.24 |     31.63 | task_16561_cp2k_singlepoint_pre |
|        476 |   0.03 |  23.04 |    16.36 |    27.13 |    31.78 |    22.94 |     17.47 |     33.80 | task_16563_cp2k_singlepoint_pre |
|        477 |   0.14 |  21.91 |    17.12 |    26.68 |    31.22 |    21.68 |     12.80 |     30.18 | task_16565_cp2k_singlepoint_pre |
|        478 |   0.30 |  24.71 |    17.48 |    30.07 |    36.20 |    24.16 |     15.52 |     36.80 | task_16557_cp2k_singlepoint_pre |
|        479 |   0.12 |  22.81 |    16.46 |    30.71 |    31.71 |    22.20 |     14.51 |     32.36 | task_16559_cp2k_singlepoint_pre |
|        480 |   0.09 |  26.39 |    17.26 |    29.73 |    35.73 |    25.40 |     36.31 |     40.69 | task_16567_cp2k_singlepoint_pre |
|        481 |   0.15 |  21.95 |    16.73 |    26.15 |    29.06 |    21.27 |     13.73 |     33.77 | task_16573_cp2k_singlepoint_pre |
|        482 |   0.08 |  21.34 |    16.15 |    27.35 |    37.46 |    19.45 |     11.09 |     29.39 | task_16571_cp2k_singlepoint_pre |
|        483 |   0.15 |  22.08 |    17.26 |    27.60 |    36.10 |    20.25 |     12.95 |     30.90 | task_16581_cp2k_singlepoint_pre |
|        484 |   0.11 |  20.95 |    16.86 |    26.26 |    32.40 |    19.77 |     11.70 |     28.24 | task_16579_cp2k_singlepoint_pre |
|        485 |   0.05 |  20.20 |    15.04 |    25.59 |    31.82 |    19.67 |     12.88 |     27.74 | task_16555_cp2k_singlepoint_pre |
|        486 |   0.35 |  23.06 |    17.24 |    27.23 |    36.28 |    22.45 |     17.49 |     32.62 | task_16575_cp2k_singlepoint_pre |
|        487 |   0.20 |  22.07 |    15.68 |    27.54 |    33.20 |    21.56 |     13.37 |     33.09 | task_16583_cp2k_singlepoint_pre |
|        488 |   0.07 |  22.15 |    15.98 |    27.56 |    31.40 |    22.01 |     14.26 |     32.79 | task_16585_cp2k_singlepoint_pre |
|        489 |   0.03 |  23.24 |    17.47 |    29.63 |    29.29 |    22.39 |     15.79 |     35.29 | task_16569_cp2k_singlepoint_pre |
|        490 |   0.15 |  21.80 |    16.28 |    26.91 |    29.19 |    22.85 |     14.10 |     30.69 | task_16603_cp2k_singlepoint_pre |
|        491 |   0.20 |  21.19 |    16.36 |    27.04 |    30.38 |    20.51 |     11.01 |     30.23 | task_16577_cp2k_singlepoint_pre |
|        492 |   0.06 |  21.40 |    15.77 |    26.74 |    30.70 |    21.17 |     13.23 |     31.89 | task_16589_cp2k_singlepoint_pre |
|        493 |   0.18 |  22.14 |    17.17 |    27.56 |    31.27 |    22.02 |     12.56 |     31.07 | task_16587_cp2k_singlepoint_pre |
|        494 |   0.00 |  21.15 |    16.02 |    28.22 |    28.72 |    20.73 |     12.42 |     29.89 | task_16595_cp2k_singlepoint_pre |
|        495 |   0.11 |  24.16 |    18.27 |    29.91 |    32.11 |    23.45 |     15.80 |     37.28 | task_16599_cp2k_singlepoint_pre |
|        496 |   0.14 |  22.60 |    15.73 |    27.61 |    34.40 |    22.89 |     14.41 |     34.16 | task_16591_cp2k_singlepoint_pre |
|        497 |   0.04 |  20.85 |    15.24 |    24.20 |    30.79 |    21.00 |     14.28 |     31.74 | task_16593_cp2k_singlepoint_pre |
|        498 |   0.05 |  21.95 |    17.32 |    26.79 |    31.60 |    21.32 |     14.87 |     30.87 | task_16597_cp2k_singlepoint_pre |
|        499 |   0.02 |  22.15 |    16.98 |    28.11 |    32.32 |    21.74 |     10.64 |     31.24 | task_16601_cp2k_singlepoint_pre |
|        500 |   0.14 |  23.87 |    18.05 |    28.96 |    33.94 |    23.77 |     14.31 |     36.08 | task_16617_cp2k_singlepoint_pre |
|        501 |   0.03 |  21.77 |    16.80 |    29.54 |    28.61 |    21.33 |     11.05 |     30.20 | task_16615_cp2k_singlepoint_pre |
|        502 |   0.09 |  21.24 |    15.91 |    28.24 |    32.52 |    21.08 |     14.09 |     27.39 | task_16613_cp2k_singlepoint_pre |
|        503 |   0.16 |  22.27 |    16.45 |    26.96 |    30.49 |    22.29 |     17.04 |     35.00 | task_16607_cp2k_singlepoint_pre |
|        504 |   0.48 |  22.42 |    16.81 |    28.21 |    32.68 |    23.07 |     16.06 |     30.49 | task_16611_cp2k_singlepoint_pre |
|        505 |   0.06 |  23.86 |    17.29 |    28.29 |    29.28 |    25.65 |     15.86 |     37.96 | task_16609_cp2k_singlepoint_pre |
|        506 |   0.19 |  21.54 |    15.93 |    26.25 |    32.87 |    21.80 |     11.16 |     31.23 | task_16605_cp2k_singlepoint_pre |
|        507 |   0.07 |  21.45 |    16.27 |    26.80 |    30.87 |    20.56 |     12.27 |     32.67 | task_16619_cp2k_singlepoint_pre |
|        508 |   0.09 |  21.04 |    16.46 |    27.33 |    32.38 |    20.34 |     10.90 |     27.02 | task_16621_cp2k_singlepoint_pre |
|        509 |   0.24 |  21.24 |    15.71 |    27.97 |    27.87 |    22.21 |     12.98 |     29.64 | task_16623_cp2k_singlepoint_pre |
|        510 |   0.12 |  20.92 |    15.87 |    25.09 |    30.46 |    21.69 |     11.84 |     30.19 | task_16625_cp2k_singlepoint_pre |
|        511 |   0.10 |  21.73 |    16.21 |    27.25 |    32.08 |    22.58 |     11.99 |     30.12 | task_16627_cp2k_singlepoint_pre |
|        512 |   0.10 |  21.92 |    15.68 |    26.57 |    33.19 |    23.31 |     13.39 |     32.20 | task_16635_cp2k_singlepoint_pre |
|        513 |   0.08 |  24.31 |    17.20 |    30.31 |    31.84 |    27.49 |     17.49 |     35.41 | task_16633_cp2k_singlepoint_pre |
|        514 |   0.11 |  22.02 |    16.07 |    25.95 |    32.35 |    23.35 |      8.44 |     33.46 | task_16631_cp2k_singlepoint_pre |
|        515 |   0.12 |  21.85 |    16.53 |    27.05 |    32.06 |    21.54 |     12.88 |     32.51 | task_16629_cp2k_singlepoint_pre |
|        516 |   0.05 |  23.26 |    17.52 |    32.17 |    34.00 |    22.06 |     10.96 |     31.53 | task_16637_cp2k_singlepoint_pre |
|        517 |   0.10 |  21.44 |    16.33 |    28.37 |    29.43 |    21.97 |     13.32 |     28.64 | task_16643_cp2k_singlepoint_pre |
|        518 |   0.22 |  22.06 |    16.38 |    28.28 |    33.17 |    22.21 |     15.71 |     30.63 | task_16641_cp2k_singlepoint_pre |
|        519 |   0.03 |  21.70 |    16.58 |    29.53 |    30.11 |    21.29 |     12.84 |     29.25 | task_16639_cp2k_singlepoint_pre |
|        520 |   0.25 |  23.14 |    15.70 |    29.09 |    31.34 |    25.70 |       nan |     37.51 | task_16645_cp2k_singlepoint_pre |
|        521 |   0.02 |  24.18 |    17.35 |    28.19 |    33.73 |    26.95 |       nan |     38.11 | task_16647_cp2k_singlepoint_pre |
|        522 |   0.18 |  23.31 |    16.58 |    29.25 |    33.17 |    24.59 |       nan |     36.43 | task_16649_cp2k_singlepoint_pre |
|        523 |   0.08 |  22.87 |    16.71 |    29.04 |    28.40 |    25.56 |       nan |     34.06 | task_16673_cp2k_singlepoint_pre |
|        524 |   0.02 |  22.00 |    16.34 |    28.14 |    31.33 |    22.72 |       nan |     31.83 | task_16671_cp2k_singlepoint_pre |
|        525 |   0.20 |  22.78 |    16.39 |    28.44 |    31.87 |    23.88 |       nan |     35.91 | task_16675_cp2k_singlepoint_pre |
|        526 |   0.10 |  23.00 |    17.05 |    30.00 |    30.25 |    23.90 |       nan |     34.35 | task_16683_cp2k_singlepoint_pre |
|        527 |   0.16 |  23.27 |    16.55 |    28.00 |    29.66 |    26.19 |       nan |     37.78 | task_16677_cp2k_singlepoint_pre |
|        528 |   0.01 |  23.26 |    17.01 |    28.51 |    32.12 |    25.33 |       nan |     34.92 | task_16679_cp2k_singlepoint_pre |
|        529 |   0.08 |  21.73 |    16.35 |    25.76 |    30.71 |    23.06 |       nan |     32.86 | task_16681_cp2k_singlepoint_pre |
|        530 |   0.03 |  20.25 |    15.81 |    29.91 |    30.14 |    18.89 |     11.65 |     28.04 | task_16657_cp2k_singlepoint_pre |
|        531 |   0.20 |  19.52 |    12.80 |    24.25 |    23.35 |    18.89 |     12.81 |     28.09 | task_16655_cp2k_singlepoint_pre |
|        532 |   0.10 |  22.02 |    16.63 |    27.82 |    30.83 |    20.12 |     13.86 |     32.53 | task_16653_cp2k_singlepoint_pre |
|        533 |   0.17 |  20.23 |    15.06 |    28.06 |    31.42 |    18.21 |     12.16 |     29.76 | task_16659_cp2k_singlepoint_pre |
|        534 |   0.03 |  22.86 |    18.26 |    30.88 |    30.04 |    21.00 |     14.95 |     32.62 | task_16665_cp2k_singlepoint_pre |
|        535 |   0.05 |  22.69 |    16.48 |    30.42 |    27.39 |    21.52 |     15.92 |     31.78 | task_16663_cp2k_singlepoint_pre |
|        536 |   0.09 |  21.85 |    17.94 |    28.96 |    29.64 |    20.28 |     14.70 |     30.32 | task_16661_cp2k_singlepoint_pre |
|        537 |   0.21 |  21.19 |    14.33 |    27.98 |    37.32 |    19.80 |     13.84 |     29.82 | task_16651_cp2k_singlepoint_pre |
|        538 |   0.05 |  23.34 |    16.89 |    31.49 |    33.35 |    22.23 |     15.07 |     32.44 | task_16667_cp2k_singlepoint_pre |
|        539 |   0.15 |  22.00 |    16.62 |    25.87 |    23.98 |    20.69 |     16.10 |     31.62 | task_16669_cp2k_singlepoint_pre |
|        540 |   0.21 |  21.87 |      nan |      nan |      nan |    20.17 |     13.93 |     31.24 | task_19382_cp2k_singlepoint_pre |
|        541 |   0.19 |  23.23 |      nan |      nan |      nan |    21.47 |     14.33 |     33.32 | task_19392_cp2k_singlepoint_pre |
|        542 |   0.53 |  20.10 |      nan |      nan |      nan |    18.94 |     12.61 |     28.03 | task_19386_cp2k_singlepoint_pre |
|        543 |   0.48 |  23.91 |      nan |      nan |      nan |    22.10 |     13.89 |     34.65 | task_19374_cp2k_singlepoint_pre |
|        544 |   0.08 |  23.39 |      nan |      nan |      nan |    22.03 |     15.54 |     32.22 | task_19380_cp2k_singlepoint_pre |
|        545 |   0.08 |  22.26 |      nan |      nan |      nan |    20.55 |     13.98 |     31.84 | task_19378_cp2k_singlepoint_pre |
|        546 |   0.30 |  24.53 |      nan |      nan |      nan |    22.70 |     14.48 |     35.40 | task_19388_cp2k_singlepoint_pre |
|        547 |   0.42 |  21.94 |      nan |      nan |      nan |    21.62 |     13.64 |     28.64 | task_19390_cp2k_singlepoint_pre |
|        548 |   0.87 |  24.11 |      nan |      nan |      nan |    23.02 |     15.84 |     32.67 | task_19384_cp2k_singlepoint_pre |
|        549 |   0.36 |  26.84 |      nan |      nan |      nan |    24.17 |     16.99 |     39.51 | task_19376_cp2k_singlepoint_pre |
|        550 |   0.10 |  23.35 |    17.23 |    36.12 |    26.40 |    21.93 |     12.61 |     33.29 | task_19402_cp2k_singlepoint_pre |
|        551 |   0.05 |  23.86 |    17.18 |    30.28 |    29.77 |    22.16 |     16.21 |     36.45 | task_19404_cp2k_singlepoint_pre |
|        552 |   0.05 |  23.21 |    18.32 |    29.90 |    32.70 |    21.91 |     12.78 |     33.03 | task_19406_cp2k_singlepoint_pre |
|        553 |   0.31 |  27.50 |    18.25 |    28.70 |    34.66 |    27.38 |     19.69 |     41.88 | task_19394_cp2k_singlepoint_pre |
|        554 |   0.07 |  22.68 |    15.83 |    27.15 |    31.44 |    22.34 |     14.72 |     32.88 | task_19408_cp2k_singlepoint_pre |
|        555 |   0.11 |  26.95 |    19.61 |    33.15 |    49.97 |    23.69 |     16.76 |     40.14 | task_19400_cp2k_singlepoint_pre |
|        556 |   0.30 |  24.08 |    18.12 |    28.12 |    35.13 |    22.03 |     14.71 |     37.02 | task_19398_cp2k_singlepoint_pre |
|        557 |   0.30 |  25.81 |    18.67 |    28.63 |    37.07 |    24.90 |     18.04 |     37.95 | task_19396_cp2k_singlepoint_pre |
|        558 |   0.07 |  26.75 |    19.51 |    38.01 |    44.39 |    24.32 |     14.94 |     38.03 | task_19410_cp2k_singlepoint_pre |
|        559 |   0.37 |  26.28 |    20.82 |    28.32 |    39.64 |    25.52 |     15.35 |     37.24 | task_19412_cp2k_singlepoint_pre |
|        560 |   0.04 |  23.86 |    17.59 |    32.86 |    34.69 |    22.42 |     14.49 |     33.94 | task_19414_cp2k_singlepoint_pre |
|        561 |   0.06 |  22.87 |    20.08 |    29.00 |    37.96 |    20.40 |     14.36 |     28.62 | task_19416_cp2k_singlepoint_pre |
