+------------+--------+--------+----------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_I | f_rmse_Cs | f_rmse_Pb |                          stdout |
|         76 |   0.01 |  45.70 |    31.80 |    68.06 |    85.65 |    36.85 |       nan |     50.66 |  task_2436_cp2k_singlepoint_pre |
|         77 |   0.02 |  31.69 |    21.08 |    35.87 |    50.22 |    34.55 |       nan |     53.21 |  task_2439_cp2k_singlepoint_pre |
|         78 |   0.18 |  39.46 |    28.08 |    53.89 |    57.41 |    40.05 |       nan |     56.01 |  task_2442_cp2k_singlepoint_pre |
|         79 |   0.19 |  35.48 |    24.74 |    42.40 |    50.17 |    39.09 |       nan |     57.39 |  task_2445_cp2k_singlepoint_pre |
|         80 |   0.18 |  23.09 |    24.52 |    35.47 |    43.84 |    19.54 |     12.83 |     29.81 |  task_2448_cp2k_singlepoint_pre |
|         81 |   0.79 |  26.81 |    24.20 |    35.33 |    52.73 |    23.09 |     17.36 |     37.19 |  task_2451_cp2k_singlepoint_pre |
|         82 |   0.12 |  30.77 |    30.29 |    39.04 |    46.00 |    28.87 |     17.73 |     39.74 |  task_2454_cp2k_singlepoint_pre |
|         83 |   0.10 |  26.88 |    23.04 |    40.15 |    50.49 |    23.95 |     14.91 |     36.74 |  task_2457_cp2k_singlepoint_pre |
|         84 |   0.62 |  21.43 |    18.46 |    32.47 |    36.34 |    19.67 |     13.42 |     27.95 |  task_2460_cp2k_singlepoint_pre |
|         85 |   0.03 |  22.73 |    18.33 |    29.24 |    41.57 |    20.77 |     14.16 |     31.53 |  task_2463_cp2k_singlepoint_pre |
|         86 |   0.78 |  28.48 |    20.87 |    32.35 |    23.78 |    28.80 |     14.80 |     40.28 |  task_2466_cp2k_singlepoint_pre |
|         87 |   0.10 |  25.82 |    20.08 |    33.94 |    47.69 |    23.63 |     15.57 |     36.10 |  task_2469_cp2k_singlepoint_pre |
|         88 |   0.09 |  29.28 |    21.69 |    38.75 |    46.66 |    27.53 |     17.58 |     41.15 |  task_2472_cp2k_singlepoint_pre |
|         89 |   0.37 |  29.41 |    20.76 |    27.81 |    43.70 |    27.42 |     19.88 |     44.06 |  task_2475_cp2k_singlepoint_pre |
|         90 |   0.09 |  13.53 |      nan |      nan |      nan |    12.48 |      8.19 |     19.52 |  task_5059_cp2k_singlepoint_pre |
|         91 |   0.02 |  13.72 |      nan |      nan |      nan |    13.09 |      7.60 |     19.22 |  task_5075_cp2k_singlepoint_pre |
|         92 |   0.05 |  14.14 |      nan |      nan |      nan |    13.69 |      8.21 |     19.22 |  task_5061_cp2k_singlepoint_pre |
|         93 |   0.27 |  13.19 |      nan |      nan |      nan |    12.10 |      7.39 |     19.39 |  task_5077_cp2k_singlepoint_pre |
|         94 |   0.12 |  13.22 |      nan |      nan |      nan |    12.13 |      8.03 |     19.20 |  task_5069_cp2k_singlepoint_pre |
|         95 |   0.17 |  12.61 |      nan |      nan |      nan |    11.95 |      7.30 |     17.72 |  task_5065_cp2k_singlepoint_pre |
|         96 |   0.24 |  13.15 |      nan |      nan |      nan |    11.93 |      7.95 |     19.35 |  task_5063_cp2k_singlepoint_pre |
|         97 |   0.13 |  13.10 |      nan |      nan |      nan |    12.62 |      7.38 |     18.04 |  task_5073_cp2k_singlepoint_pre |
|         98 |   0.16 |  14.35 |      nan |      nan |      nan |    13.29 |      8.20 |     20.79 |  task_5071_cp2k_singlepoint_pre |
|         99 |   0.02 |  12.62 |      nan |      nan |      nan |    11.47 |      7.37 |     18.65 |  task_5067_cp2k_singlepoint_pre |
|        100 |   0.06 |  15.44 |    11.23 |    18.69 |    16.20 |    15.40 |      8.52 |     23.00 |  task_5095_cp2k_singlepoint_pre |
|        101 |   0.11 |  15.07 |    10.45 |    15.91 |    19.28 |    14.32 |      8.97 |     24.29 |  task_5081_cp2k_singlepoint_pre |
|        102 |   0.07 |  14.61 |    10.83 |    14.82 |    15.54 |    14.59 |      8.91 |     22.31 |  task_5087_cp2k_singlepoint_pre |
|        103 |   0.20 |  15.54 |    11.09 |    18.94 |    21.15 |    14.81 |      9.08 |     23.52 |  task_5083_cp2k_singlepoint_pre |
|        104 |   0.03 |  15.45 |    11.73 |    20.62 |    26.94 |    14.13 |      8.30 |     21.68 |  task_5089_cp2k_singlepoint_pre |
|        105 |   0.03 |  14.31 |    11.05 |    18.28 |    18.51 |    13.39 |      8.27 |     21.23 |  task_5091_cp2k_singlepoint_pre |
|        106 |   0.15 |  14.30 |    10.93 |    18.39 |    17.00 |    13.82 |      8.32 |     20.71 |  task_5093_cp2k_singlepoint_pre |
|        107 |   0.10 |  13.38 |    10.26 |    16.40 |    17.91 |    12.76 |      8.93 |     19.24 |  task_5085_cp2k_singlepoint_pre |
|        108 |   0.19 |  14.78 |    10.31 |    17.71 |    16.90 |    14.87 |      7.75 |     22.09 |  task_5079_cp2k_singlepoint_pre |
|        109 |   0.23 |  13.12 |    10.03 |    18.49 |    18.13 |    12.11 |      7.68 |     18.77 |  task_5097_cp2k_singlepoint_pre |
|        110 |   0.08 |  14.48 |    10.55 |    16.42 |    17.68 |    14.26 |      9.03 |     22.82 |  task_5111_cp2k_singlepoint_pre |
|        111 |   0.12 |  16.52 |    12.20 |    20.01 |    22.84 |    16.38 |      9.05 |     24.31 |  task_5109_cp2k_singlepoint_pre |
|        112 |   0.01 |  13.73 |    10.81 |    17.63 |    16.71 |    12.87 |      8.34 |     20.48 |  task_5107_cp2k_singlepoint_pre |
|        113 |   0.12 |  14.61 |    10.29 |    17.20 |    16.72 |    14.80 |      7.63 |     23.01 |  task_5101_cp2k_singlepoint_pre |
|        114 |   0.11 |  15.02 |    11.65 |    18.07 |    20.88 |    14.29 |      8.55 |     22.35 |  task_5103_cp2k_singlepoint_pre |
|        115 |   0.20 |  14.88 |    11.03 |    15.95 |    16.77 |    14.40 |      9.09 |     24.53 |  task_5117_cp2k_singlepoint_pre |
|        116 |   0.08 |  14.09 |    10.77 |    15.27 |    14.21 |    14.85 |      7.47 |     21.02 |  task_5113_cp2k_singlepoint_pre |
|        117 |   0.09 |  14.52 |    10.61 |    18.65 |    19.31 |    13.94 |      8.70 |     21.84 |  task_5115_cp2k_singlepoint_pre |
|        118 |   0.04 |  14.50 |    10.94 |    14.18 |    18.55 |    14.79 |      8.68 |     22.27 |  task_5099_cp2k_singlepoint_pre |
|        119 |   0.15 |  14.27 |    10.55 |    16.24 |    19.96 |    13.77 |      8.55 |     22.02 |  task_5105_cp2k_singlepoint_pre |
|        120 |   0.13 |  15.73 |    10.89 |    16.87 |    20.24 |    16.78 |     10.25 |     24.78 |  task_5125_cp2k_singlepoint_pre |
|        121 |   0.13 |  16.28 |    10.68 |    16.86 |    21.01 |    17.44 |     10.32 |     26.88 |  task_5121_cp2k_singlepoint_pre |
|        122 |   0.12 |  15.74 |    11.69 |    16.74 |    21.19 |    17.14 |      9.70 |     22.34 |  task_5119_cp2k_singlepoint_pre |
|        123 |   0.06 |  17.16 |    11.20 |    18.56 |    23.09 |    18.02 |     11.11 |     28.21 |  task_5133_cp2k_singlepoint_pre |
|        124 |   0.26 |  14.08 |    10.39 |    14.80 |    18.96 |    14.00 |      9.35 |     22.78 |  task_5127_cp2k_singlepoint_pre |
|        125 |   0.05 |  16.17 |    10.39 |    18.51 |    20.19 |    17.08 |     10.57 |     26.55 |  task_5137_cp2k_singlepoint_pre |
|        126 |   0.29 |  15.37 |    10.12 |    16.77 |    20.32 |    16.46 |     10.46 |     24.46 |  task_5131_cp2k_singlepoint_pre |
|        127 |   0.07 |  15.99 |    10.81 |    17.78 |    19.44 |    16.48 |     11.64 |     26.51 |  task_5129_cp2k_singlepoint_pre |
|        128 |   0.13 |  15.80 |    11.26 |    17.92 |    20.16 |    16.51 |      9.95 |     24.43 |  task_5135_cp2k_singlepoint_pre |
|        129 |   0.20 |  14.21 |    10.16 |    16.12 |    18.63 |    14.06 |      8.90 |     23.24 |  task_5123_cp2k_singlepoint_pre |
|        130 |   0.05 |  15.25 |    10.79 |    15.60 |    17.49 |    16.49 |      8.47 |     26.42 |  task_5139_cp2k_singlepoint_pre |
|        131 |   0.15 |  14.47 |    10.29 |    15.68 |    17.82 |    14.79 |      8.30 |     25.25 |  task_5141_cp2k_singlepoint_pre |
|        132 |   0.02 |  16.05 |    10.22 |    15.90 |    17.94 |    18.33 |      9.46 |     28.62 |  task_5143_cp2k_singlepoint_pre |
|        133 |   0.13 |  15.29 |    10.42 |    17.27 |    19.68 |    16.57 |     10.85 |     24.58 |  task_5159_cp2k_singlepoint_pre |
|        134 |   0.02 |  15.39 |    10.88 |    17.28 |    20.14 |    15.75 |      9.61 |     25.83 |  task_5157_cp2k_singlepoint_pre |
|        135 |   0.18 |  14.73 |    10.43 |    16.90 |    18.18 |    16.11 |     10.09 |     22.71 |  task_5153_cp2k_singlepoint_pre |
|        136 |   0.01 |  15.35 |    10.05 |    17.00 |    18.04 |    17.35 |      9.61 |     25.37 |  task_5173_cp2k_singlepoint_pre |
|        137 |   0.15 |  15.14 |    10.65 |    17.26 |    20.62 |    15.69 |      9.52 |     24.50 |  task_5165_cp2k_singlepoint_pre |
|        138 |   0.10 |  15.77 |    10.70 |    17.18 |    21.32 |    16.59 |     12.56 |     26.18 |  task_5169_cp2k_singlepoint_pre |
|        139 |   0.02 |  16.74 |    11.10 |    17.00 |    20.08 |    18.31 |     11.30 |     29.48 |  task_5167_cp2k_singlepoint_pre |
|        140 |   0.10 |  16.77 |    10.82 |    16.20 |    19.17 |    19.73 |     13.74 |     30.51 |  task_5189_cp2k_singlepoint_pre |
|        141 |   0.05 |  15.85 |    10.90 |    17.65 |    19.36 |    17.32 |     10.34 |     27.43 |  task_5185_cp2k_singlepoint_pre |
|        142 |   0.11 |  14.11 |    10.10 |    15.98 |    15.97 |    15.47 |      7.62 |     23.86 |  task_5191_cp2k_singlepoint_pre |
|        143 |   0.02 |  15.36 |    10.55 |    16.49 |    17.97 |    17.65 |     10.95 |     25.84 |  task_5177_cp2k_singlepoint_pre |
|        144 |   0.05 |  15.00 |    11.38 |    17.04 |    18.84 |    15.25 |     10.17 |     24.70 |  task_5181_cp2k_singlepoint_pre |
|        145 |   0.03 |  15.27 |    10.61 |    15.52 |    16.75 |    18.08 |      9.07 |     25.77 |  task_5179_cp2k_singlepoint_pre |
|        146 |   0.16 |  18.12 |    12.10 |    19.40 |    22.05 |    20.13 |     11.58 |     32.41 |  task_5193_cp2k_singlepoint_pre |
|        147 |   0.04 |  14.99 |    10.57 |    17.01 |    14.79 |    17.29 |     10.09 |     24.82 |  task_5187_cp2k_singlepoint_pre |
|        148 |   0.01 |  15.30 |    10.52 |    17.17 |    19.47 |    17.17 |      9.40 |     25.12 |  task_5195_cp2k_singlepoint_pre |
|        149 |   0.07 |  15.61 |    10.86 |    17.52 |    19.18 |    17.05 |      9.75 |     26.56 |  task_5183_cp2k_singlepoint_pre |
|        150 |   0.25 |  15.56 |    10.25 |    16.85 |    18.36 |    18.20 |      8.32 |     28.26 |  task_5205_cp2k_singlepoint_pre |
|        151 |   0.13 |  16.41 |    10.83 |    16.41 |    19.27 |    19.75 |      9.34 |     30.07 |  task_5215_cp2k_singlepoint_pre |
|        152 |   0.15 |  15.69 |    11.02 |    18.58 |    20.62 |    18.54 |     11.66 |     22.63 |  task_5199_cp2k_singlepoint_pre |
|        153 |   0.02 |  16.33 |    10.98 |    17.64 |    18.43 |    18.54 |     12.59 |     30.48 |  task_5197_cp2k_singlepoint_pre |
|        154 |   0.03 |  14.39 |    10.51 |    15.39 |    19.90 |    15.21 |     11.09 |     24.59 |  task_5203_cp2k_singlepoint_pre |
|        155 |   0.03 |  16.87 |    11.26 |    18.10 |    19.70 |    18.88 |     12.63 |     31.96 |  task_5209_cp2k_singlepoint_pre |
|        156 |   0.10 |  15.58 |    10.72 |    16.92 |    17.38 |    18.12 |     10.59 |     27.70 |  task_5207_cp2k_singlepoint_pre |
|        157 |   0.10 |  15.65 |    10.52 |    16.49 |    18.41 |    18.02 |     12.83 |     28.69 |  task_5217_cp2k_singlepoint_pre |
|        158 |   0.05 |  15.57 |    10.60 |    18.76 |    20.41 |    17.14 |     11.40 |     25.84 |  task_5213_cp2k_singlepoint_pre |
|        159 |   0.02 |  17.74 |    11.39 |    17.91 |    19.58 |    21.70 |     17.02 |     32.77 |  task_5211_cp2k_singlepoint_pre |
